se_model_id,se_model_name,adaptation_type,immediate_ancestor,ancestor_rel_type_raw,max_lineage_length,base_model,se_task_id,se_task,se_activity_id,se_activity
RichardErkhov/S-miguel_-_The-Trinity-Coder-7B-gguf,S-miguel_-_The-Trinity-Coder-7B-gguf,Merge,beowolx/CodeNinja-1.0-OpenChat-7B; uukuguy/speechless-zephyr-code-functionary-7b; Kukedlc/NeuralExperiment-7b-MagicCoder-v7.5,IS_MERGE_OF,26,mistralai/Mistral-7B-v0.1; uukuguy/speechless-zephyr-code-functionary-7b; fblgit/UNA-TheBeagle-7b-v1; andrijdavid/Marcoroni-7B-v3-GGUF; openchat/openchat_3.5; TIGER-Lab/MAmmoTH-7B-Mistral; fblgit/una-cybertron-7b-v2-bf16; mistral-community/Mistral-7B-v0.2; senseable/WestLake-7B-v2; dphn/dolphin-2.6-mistral-7b-dpo-laser; FelixChao/Sectumsempra-7B-DPO; vanillaOVO/supermario_v2; BarryFutureman/WildMarcoroni-Variant1-7B; QuixiAI/WestLake-7B-v2-laser; yam-peleg/Experiment24-7B,code generation; code completion,code generation; code completion,software implementation,software implementation
ZeroXClem/Llama-3.1-8B-AthenaSky-MegaMix,Llama-3.1-8B-AthenaSky-MegaMix,Merge,Undi95/Meta-Llama-3.1-8B-Claude; Skywork/Skywork-o1-Open-Llama-3.1-8B; mergekit-community/good_mix_model_Stock; Pedro13543/mega_blend_model; mergekit-community/L3.1-Athena-d-8B,IS_MERGE_OF,23,Undi95/Meta-Llama-3.1-8B-Claude; meta-llama/Llama-3.1-8B; meta-llama/Meta-Llama-3-8B-Instruct; TheDrummer/Llama-3SOME-8B-v2; vicgalle/Humanish-Roleplay-Llama-3.1-8B; vicgalle/Roleplay-Hermes-3-Llama-3.1-8B; Nitral-AI/Poppy_Porpoise-0.72-L3-8B; Sao10K/L3-8B-Stheno-v3.2; NeverSleep/Llama-3-Lumimaid-8B-v0.1-OAS; Hastagaras/Jamet-8B-L3-MK.V-Blackroot; Sao10K/L3-8B-Niitama-v1; Sao10K/Llama-3.1-8B-Stheno-v3.4; meta-llama/Meta-Llama-3-8B; NousResearch/Meta-Llama-3-8B-Instruct; vicgalle/Configurable-Llama-3-8B-v0.3; vicgalle/Configurable-Llama-3-8B-v0.2; elyn-dev/Llama-3-Soliloquy-8B-v2; lodrick-the-lafted/Olethros-8B; theo77186/Llama-3-8B-Instruct-norefusal; NousResearch/Meta-Llama-3-8B; cgato/L3-TheSpice-8b-v0.8.3; cloudyu/Meta-Llama-3-8B-Instruct-DPO; uygarkurt/llama-3-merged-linear; migtissera/Llama-3-8B-Synthia-v3.5; Undi95/Meta-Llama-3-8B-hf; ResplendentAI/Smarts_Llama3; Blackroot/Llama-3-8B-Abomination-LORA; Hastagaras/Halu-OAS-8B-Llama3; princeton-nlp/Llama-3-Instruct-8B-SimPO; Abdo36/MentalLORALLAMA3; victunes/TherapyLlama-8B-v1; herisan/llama-3-8b_mental_health_counseling_conversations; Nitral-AI/Hathor_Sofit-L3-8B-v1; DavidAU/L3-Dark-Planet-8B-V2-Eight-Orbs-Of-Power; DavidAU/L3.1-RP-Hero-BigTalker-8B,code generation; code completion,code generation; code completion,software implementation,software implementation
prithivMLmods/Viper-Coder-v1.7-Vsm6,Viper-Coder-v1.7-Vsm6,Fine-tuned,prithivMLmods/Viper-Coder-v1.6-r999,IS_FINETUNED_FROM,13,Qwen/Qwen2.5-14B,coding; code generation,coding; code generation,software implementation,software implementation
TorpedoSoftware/Luau-Devstral-24B-Instruct-v0.2,Luau-Devstral-24B-Instruct-v0.2,Fine-tuned,TorpedoSoftware/Luau-Devstral-24B-Instruct-v0.1,IS_FINETUNED_FROM,11,Dans-DiscountModels/Mistral-Small-24B-Base-2501-ChatML,code generation,code generation,software implementation,software implementation
havenvanheusen/Devstral-Vision-Small-2507-Q4_K_M-GGUF,Devstral-Vision-Small-2507-Q4_K_M-GGUF,Quantized,QuixiAI/Devstral-Vision-Small-2507,IS_QUANTIZED_FROM,11,Dans-DiscountModels/Mistral-Small-24B-Base-2501-ChatML,code generation,code generation,software implementation,software implementation
prithivMLmods/Viper-Coder-Hybrid-v1.2,Viper-Coder-Hybrid-v1.2,Fine-tuned,prithivMLmods/Viper-Coder-v1.1,IS_FINETUNED_FROM,11,Qwen/Qwen2.5-14B,code generation,code generation,software implementation,software implementation
prithivMLmods/Viper-Coder-Hybrid-v1.3,Viper-Coder-Hybrid-v1.3,Fine-tuned,prithivMLmods/Viper-Coder-v1.1,IS_FINETUNED_FROM,11,Qwen/Qwen2.5-14B,code generation,code generation,software implementation,software implementation
prithivMLmods/Viper-Coder-v1.4,Viper-Coder-v1.4,Fine-tuned,prithivMLmods/Viper-Coder-v1.1,IS_FINETUNED_FROM,11,Qwen/Qwen2.5-14B,code generation,code generation,software implementation,software implementation
CultriX/CultriX-MoE-BF16,CultriX-MoE-BF16,Merge,fblgit/UNA-dolphin-2.6-mistral-7b-dpo-laser; mlabonne/Marcoro14-7B-slerp; mlabonne/NeuralBeagle14-7B,IS_MERGE_OF,10,fblgit/UNA-dolphin-2.6-mistral-7b-dpo-laser; andrijdavid/Marcoroni-7B-v3-GGUF; mistralai/Mistral-7B-v0.1; openchat/openchat_3.5; TIGER-Lab/MAmmoTH-7B-Mistral; fblgit/una-cybertron-7b-v2-bf16; fblgit/UNA-TheBeagle-7b-v1,data analysis,data analysis,software implementation,software implementation
CultriX/CultriX-MoE-Model,CultriX-MoE-Model,Merge,fblgit/UNA-dolphin-2.6-mistral-7b-dpo-laser; mlabonne/NeuralBeagle14-7B,IS_MERGE_OF,10,fblgit/UNA-dolphin-2.6-mistral-7b-dpo-laser; fblgit/UNA-TheBeagle-7b-v1; andrijdavid/Marcoroni-7B-v3-GGUF; mistralai/Mistral-7B-v0.1; openchat/openchat_3.5; TIGER-Lab/MAmmoTH-7B-Mistral; fblgit/una-cybertron-7b-v2-bf16,data analysis,data analysis,software implementation,software implementation
